begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,111.553,111.7,111.0,111.28,16207,18057434.27
2020-12-22,2020-12-22 23:59:59,111.288,111.29,110.92,111.2,10908,12110022.48
2020-12-23,2020-12-23 23:59:59,110.902,111.29,110.85,111.098,7668,8514569.14
2020-12-24,2020-12-24 23:59:59,111.0,111.15,110.86,111.101,1486,1651039.49
2020-12-25,2020-12-25 23:59:59,111.575,111.575,110.849,111.2,7230,8029998.03
2020-12-28,2020-12-28 23:59:59,111.505,111.575,110.921,111.227,5487,6101896.76
2020-12-29,2020-12-29 23:59:59,110.601,111.23,110.601,111.229,73209,81405819.18
2020-12-30,2020-12-30 23:59:59,111.501,111.553,110.722,111.22,88705,98657148.15
2021-01-04,2021-01-04 23:59:59,111.499,111.499,111.107,111.255,3358,3735238.09
2021-01-05,2021-01-05 23:59:59,111.576,111.576,111.11,111.318,1402,1559896.5
2021-01-06,2021-01-06 23:59:59,111.685,112.798,111.105,111.105,4244,4729283.82
2021-01-08,2021-01-08 23:59:59,111.896,111.896,111.135,111.5,2222,2476351.61
2021-01-11,2021-01-11 23:59:59,111.135,111.51,110.7,110.8,18837,20930349.02
2021-01-12,2021-01-12 23:59:59,111.176,111.176,110.55,110.8,505558,558931626.63
2021-01-13,2021-01-13 23:59:59,110.551,110.968,110.551,110.641,19277,21339294.93
2021-01-14,2021-01-14 23:59:59,111.299,111.299,110.311,110.311,3214,3553607.51
2021-01-15,2021-01-15 23:59:59,110.312,110.672,109.844,110.138,8448,9315308.36
2021-01-18,2021-01-18 23:59:59,109.454,110.182,109.454,110.08,4392,4833604.63
2021-01-19,2021-01-19 23:59:59,110.699,110.699,109.675,110.259,1751,1927603.83
2021-01-20,2021-01-20 23:59:59,110.696,110.696,110.001,110.286,16612,18339812.03
2021-01-21,2021-01-21 23:59:59,109.8,110.379,109.8,110.07,133142,146461795.72
2021-01-22,2021-01-22 23:59:59,110.14,110.14,109.38,109.38,21946,24091198.54
2021-01-25,2021-01-25 23:59:59,109.32,110.07,109.32,109.44,241754,264806308.24
2021-01-26,2021-01-26 23:59:59,109.887,109.887,109.322,109.677,137477,150629079.09
2021-01-27,2021-01-27 23:59:59,110.1,110.1,109.37,109.5,228646,250304795.55
2021-01-28,2021-01-28 23:59:59,109.605,109.606,109.202,109.5,2296,2513249.43
2021-01-29,2021-01-29 23:59:59,109.703,109.73,109.427,109.647,11467,12580370.7
2021-02-01,2021-02-01 23:59:59,108.502,109.7,108.502,109.649,8534,9354655.55
2021-02-02,2021-02-02 23:59:59,109.51,109.7,109.51,109.531,94631,103759383.9
