begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,108.276,108.69,107.85,107.913,4240,4583524.3
2020-12-22,2020-12-22 23:59:59,107.812,108.19,107.81,108.04,20577,22206787.69
2020-12-23,2020-12-23 23:59:59,108.05,108.05,107.807,107.93,30242,32643324.71
2020-12-24,2020-12-24 23:59:59,108.49,108.49,107.601,107.95,4526,4887936.87
2020-12-25,2020-12-25 23:59:59,107.701,108.1,107.5,107.995,2106,2272382.67
2020-12-28,2020-12-28 23:59:59,108.1,108.207,107.711,108.001,25089,27092618.94
2020-12-29,2020-12-29 23:59:59,107.502,108.486,107.5,108.058,43732,47238152.99
2020-12-30,2020-12-30 23:59:59,108.197,108.197,108.0,108.097,1838,1986671.42
2021-01-04,2021-01-04 23:59:59,108.6,108.6,108.0,108.25,1218,1318595.07
2021-01-05,2021-01-05 23:59:59,108.49,108.899,108.05,108.435,1516,1643422.23
2021-01-06,2021-01-06 23:59:59,108.599,108.599,108.229,108.5,1461,1585255.19
2021-01-08,2021-01-08 23:59:59,108.15,108.531,108.15,108.38,749,812370.92
2021-01-11,2021-01-11 23:59:59,108.25,108.35,107.812,107.9,4533,4894828.75
2021-01-12,2021-01-12 23:59:59,107.802,108.02,107.671,107.778,11250,12147225.29
2021-01-13,2021-01-13 23:59:59,107.618,108.493,107.46,107.462,28689,30906913.46
2021-01-14,2021-01-14 23:59:59,107.416,107.805,107.301,107.399,6631,7124608.29
2021-01-15,2021-01-15 23:59:59,107.48,107.48,106.451,106.607,902917,963418251.54
2021-01-18,2021-01-18 23:59:59,107.293,107.293,106.458,106.742,77260,82359493.61
2021-01-19,2021-01-19 23:59:59,106.451,106.906,106.451,106.848,587,626951.52
2021-01-20,2021-01-20 23:59:59,106.848,107.1,106.5,107.008,56098,59975823.7
2021-01-21,2021-01-21 23:59:59,107.085,107.087,106.57,106.7,183369,195741758.53
2021-01-22,2021-01-22 23:59:59,106.999,106.999,106.1,106.1,165702,175991604.77
2021-01-25,2021-01-25 23:59:59,106.499,106.7,106.1,106.21,23929,25462933.21
2021-01-26,2021-01-26 23:59:59,106.328,106.434,106.026,106.434,43583,46322633.84
2021-01-27,2021-01-27 23:59:59,106.6,106.897,106.1,106.137,448067,475424304.94
2021-01-28,2021-01-28 23:59:59,106.247,106.247,105.7,106.099,19001,20133063.97
2021-01-29,2021-01-29 23:59:59,106.698,106.698,106.086,106.193,40825,43384031.03
2021-02-01,2021-02-01 23:59:59,106.434,106.434,105.951,106.246,16558,17581789.16
2021-02-02,2021-02-02 23:59:59,105.8,106.425,105.8,106.227,14552,15460628.81
2021-02-03,2021-02-03 23:59:59,105.813,106.199,105.602,105.904,84292,89222692.28
2021-02-04,2021-02-04 23:59:59,106.5,106.54,105.643,106.027,19784,20993390.71
2021-02-05,2021-02-05 23:59:59,106.204,106.5,106.056,106.361,48329,51390683.96
2021-02-08,2021-02-08 23:59:59,105.83,106.779,105.83,106.477,6775,7218023.63
2021-02-09,2021-02-09 23:59:59,106.897,106.897,106.103,106.34,26498,28167345.24
2021-02-10,2021-02-10 23:59:59,106.3,106.339,105.804,105.996,18789,19918307.3
2021-02-11,2021-02-11 23:59:59,105.8,106.35,105.382,105.602,3354,3545122.11
