begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,112.896,112.896,111.999,112.0,27922,31309982.93
2020-12-22,2020-12-22 23:59:59,112.09,112.15,111.83,112.056,30185,33830401.42
2020-12-23,2020-12-23 23:59:59,112.267,112.27,111.65,111.75,76338,85317349.29
2020-12-24,2020-12-24 23:59:59,111.653,111.76,111.576,111.76,108938,121727073.32
2020-12-25,2020-12-25 23:59:59,111.942,111.942,111.72,111.849,48531,54227677.05
2020-12-28,2020-12-28 23:59:59,111.76,112.097,111.51,111.798,77355,86394352.67
2020-12-29,2020-12-29 23:59:59,111.651,112.189,111.651,112.1,13958,15631418.59
2020-12-30,2020-12-30 23:59:59,112.895,112.896,111.86,112.169,11150,12506561.61
2021-01-04,2021-01-04 23:59:59,112.6,112.836,112.101,112.239,548,615217.09
2021-01-05,2021-01-05 23:59:59,112.699,112.699,111.911,112.29,461,517302.88
2021-01-06,2021-01-06 23:59:59,111.8,112.331,111.8,112.129,679,762365.13
2021-01-08,2021-01-08 23:59:59,112.33,112.33,112.001,112.315,456,512161.76
2021-01-11,2021-01-11 23:59:59,112.329,112.33,111.74,111.74,17619,19741449.86
2021-01-12,2021-01-12 23:59:59,111.89,111.89,111.523,111.704,9499,10619485.36
2021-01-13,2021-01-13 23:59:59,112.298,112.298,111.302,111.495,38197,42553571.84
2021-01-14,2021-01-14 23:59:59,111.796,111.796,111.25,111.398,4190,4667682.49
2021-01-15,2021-01-15 23:59:59,111.301,111.48,110.812,111.0,462537,513971766.93
2021-01-18,2021-01-18 23:59:59,111.549,111.549,110.658,110.849,1137862,1260745198.06
2021-01-19,2021-01-19 23:59:59,110.501,111.029,110.501,110.981,18585,20604424.23
2021-01-20,2021-01-20 23:59:59,110.801,111.298,110.801,110.999,125863,139606948.98
2021-01-21,2021-01-21 23:59:59,110.602,111.5,110.602,111.0,35061,38889547.12
2021-01-22,2021-01-22 23:59:59,111.0,111.0,110.302,110.5,1771,1957883.7
2021-01-25,2021-01-25 23:59:59,110.252,110.723,110.1,110.305,57419,63442781.08
2021-01-26,2021-01-26 23:59:59,110.625,110.628,110.3,110.628,535270,590806619.65
2021-01-27,2021-01-27 23:59:59,110.819,110.819,110.288,110.301,24877,27490430.06
2021-01-28,2021-01-28 23:59:59,110.646,110.646,110.2,110.45,744223,821987421.14
2021-01-29,2021-01-29 23:59:59,111.1,111.1,110.001,110.598,205102,226634489.77
2021-02-01,2021-02-01 23:59:59,110.598,110.729,110.394,110.68,2839,3137651.14
2021-02-02,2021-02-02 23:59:59,111.1,111.1,110.402,110.52,7056,7805976.09
2021-02-03,2021-02-03 23:59:59,110.612,111.092,110.036,110.53,22698,25083203.2
2021-02-04,2021-02-04 23:59:59,110.54,110.6,110.172,110.592,3627,4006198.18
2021-02-05,2021-02-05 23:59:59,110.9,111.1,110.574,110.811,43979,48730371.63
2021-02-08,2021-02-08 23:59:59,111.1,111.1,110.579,111.05,72994,81024279.1
2021-02-09,2021-02-09 23:59:59,110.7,111.2,110.601,110.779,61563,68169064.03
2021-02-10,2021-02-10 23:59:59,110.456,110.78,110.3,110.653,3492,3857302.35
2021-02-11,2021-02-11 23:59:59,111.094,111.097,110.008,110.266,9254,10202951.28
2021-02-12,2021-02-12 23:59:59,110.498,110.498,109.53,109.798,6339,6953180.89
2021-02-15,2021-02-15 23:59:59,109.612,109.939,109.01,109.337,17363,18997558.01
2021-02-16,2021-02-16 23:59:59,109.011,109.39,108.5,108.87,10116,11032392.79
2021-02-17,2021-02-17 23:59:59,109.05,109.253,108.499,109.212,475032,516354248.55
2021-02-18,2021-02-18 23:59:59,109.3,109.3,108.75,108.967,180729,196813447.96
2021-02-19,2021-02-19 23:59:59,108.606,108.978,108.501,108.662,3576,3886103.16
2021-02-20,2021-02-20 23:59:59,108.669,108.67,108.29,108.479,2542,2758703.5
2021-02-22,2021-02-22 23:59:59,108.796,108.796,108.333,108.5,23836,25862089.81
2021-02-24,2021-02-24 23:59:59,108.668,108.959,108.499,108.553,56685,61564587.23
2021-02-25,2021-02-25 23:59:59,108.799,108.799,107.859,108.079,183150,198129135.84
2021-02-26,2021-02-26 23:59:59,108.749,108.749,107.24,107.619,66457,71494280.94
2021-03-01,2021-03-01 23:59:59,107.73,108.0,107.441,107.749,92942,99960296.76
2021-03-02,2021-03-02 23:59:59,107.892,108.03,107.425,108.03,46627,50217075.0
2021-03-03,2021-03-03 23:59:59,107.751,108.3,107.751,108.3,53072,57368020.39
2021-03-04,2021-03-04 23:59:59,108.389,108.611,108.292,108.499,131770,142954538.81
2021-03-05,2021-03-05 23:59:59,108.325,108.325,107.672,108.072,29533,31860291.01
2021-03-09,2021-03-09 23:59:59,107.616,108.25,107.616,108.029,178215,192488211.7
2021-03-10,2021-03-10 23:59:59,107.802,108.02,107.643,107.87,57222,61726138.92
2021-03-11,2021-03-11 23:59:59,107.653,108.107,107.249,107.624,85918,92184206.98
2021-03-12,2021-03-12 23:59:59,107.261,107.789,107.07,107.395,4122,4422509.98
2021-03-15,2021-03-15 23:59:59,107.17,107.897,106.84,107.094,2697,2890068.45
2021-03-16,2021-03-16 23:59:59,107.152,107.22,106.741,107.1,6177,6604510.91
2021-03-17,2021-03-17 23:59:59,106.769,107.053,106.54,106.83,17264,18436770.91
2021-03-18,2021-03-18 23:59:59,106.829,106.919,106.199,106.199,274251,291985077.77
2021-03-19,2021-03-19 23:59:59,106.003,106.327,105.8,106.06,158319,168125938.13
2021-03-22,2021-03-22 23:59:59,105.602,106.055,105.536,105.754,163016,172301145.98
2021-03-23,2021-03-23 23:59:59,105.674,105.674,104.5,105.19,14601,15329163.54
2021-03-24,2021-03-24 23:59:59,104.709,105.61,104.709,105.003,281835,296500873.08
2021-03-25,2021-03-25 23:59:59,105.546,105.649,105.058,105.498,1124149,1186276542.03
2021-03-26,2021-03-26 23:59:59,105.774,106.16,105.77,106.0,291893,309138482.37
2021-03-29,2021-03-29 23:59:59,106.089,106.09,105.71,106.09,12154,12877343.23
2021-03-30,2021-03-30 23:59:59,106.139,106.14,105.512,105.81,108922,115268528.32
2021-03-31,2021-03-31 23:59:59,106.299,106.299,105.6,105.802,45913,48602937.22
2021-04-01,2021-04-01 23:59:59,106.499,106.499,105.025,105.739,113990,120449700.62
2021-04-02,2021-04-02 23:59:59,106.219,106.22,105.501,105.699,41989,44545903.88
2021-04-05,2021-04-05 23:59:59,105.94,105.941,105.503,105.889,518429,548337819.66
2021-04-06,2021-04-06 23:59:59,106.096,106.096,105.079,105.322,729896,769766117.78
2021-04-07,2021-04-07 23:59:59,105.899,105.9,104.601,104.94,2564361,2683687702.69
2021-04-08,2021-04-08 23:59:59,105.5,105.5,104.65,104.749,1928525,2019335679.72
2021-04-09,2021-04-09 23:59:59,104.709,104.909,104.531,104.699,130930,136988913.68
2021-04-12,2021-04-12 23:59:59,105.099,105.099,104.551,104.989,122524,128449616.71
2021-04-13,2021-04-13 23:59:59,105.04,105.04,104.666,105.0,108352,113691450.32
2021-04-14,2021-04-14 23:59:59,105.096,106.253,105.096,106.109,206880,219023646.97
2021-04-15,2021-04-15 23:59:59,106.249,106.25,104.676,105.55,3854053,4061527103.12
2021-04-16,2021-04-16 23:59:59,105.831,106.757,105.83,106.24,886444,942102348.26
2021-04-19,2021-04-19 23:59:59,106.699,106.699,105.7,105.899,283704,300491977.48
2021-04-20,2021-04-20 23:59:59,105.606,106.069,105.543,105.6,300930,318337094.95
2021-04-21,2021-04-21 23:59:59,105.587,106.129,105.519,106.079,382636,405233562.62
2021-04-22,2021-04-22 23:59:59,106.129,106.5,105.753,106.35,372063,395932076.05
2021-04-23,2021-04-23 23:59:59,106.151,106.643,106.112,106.249,241759,257026429.86
2021-04-26,2021-04-26 23:59:59,106.39,106.691,106.12,106.301,264101,280895352.79
2021-04-27,2021-04-27 23:59:59,106.7,106.7,106.05,106.228,11300,12004595.46
2021-04-28,2021-04-28 23:59:59,106.681,106.681,105.7,106.25,112042,119053279.81
2021-04-29,2021-04-29 23:59:59,106.499,106.499,106.101,106.398,14192,15102444.33
2021-04-30,2021-04-30 23:59:59,106.5,106.5,106.052,106.397,8648,9184229.13
2021-05-04,2021-05-04 23:59:59,106.6,106.6,106.141,106.499,46328,49314719.71
2021-05-05,2021-05-05 23:59:59,105.7,106.66,105.7,106.568,2925,3112385.03
2021-05-06,2021-05-06 23:59:59,106.679,106.7,106.41,106.548,172174,183451533.36
2021-05-07,2021-05-07 23:59:59,106.848,106.948,106.503,106.599,9463,10090470.77
2021-05-10,2021-05-10 23:59:59,106.453,106.7,106.453,106.511,848,904041.8
2021-05-11,2021-05-11 23:59:59,106.798,106.798,106.3,106.399,5474,5829824.29
2021-05-12,2021-05-12 23:59:59,106.609,106.61,105.978,106.268,18473,19634399.31
2021-05-13,2021-05-13 23:59:59,106.27,106.562,105.822,106.009,3275,3470199.37
2021-05-14,2021-05-14 23:59:59,106.5,106.698,105.681,106.1,6752,7154490.68
2021-05-17,2021-05-17 23:59:59,105.791,106.327,105.791,106.079,117462,124603994.37
2021-05-18,2021-05-18 23:59:59,106.499,106.499,105.853,106.096,7891,8364609.21
2021-05-19,2021-05-19 23:59:59,106.237,106.237,105.858,105.909,4036,4276893.33
2021-05-20,2021-05-20 23:59:59,106.154,106.999,105.85,106.299,10292,10911100.05
2021-05-21,2021-05-21 23:59:59,106.699,106.7,105.792,106.191,2997,3179030.51
2021-05-24,2021-05-24 23:59:59,105.602,106.38,105.6,106.002,53890,57168066.65
2021-05-25,2021-05-25 23:59:59,105.601,106.697,105.6,105.967,16621,17620401.03
2021-05-26,2021-05-26 23:59:59,106.051,106.222,105.88,105.95,5658,6000599.44
2021-05-27,2021-05-27 23:59:59,106.549,106.549,105.977,106.001,5643,5991211.83
2021-05-28,2021-05-28 23:59:59,106.699,106.7,105.702,105.912,279229,295907406.03
2021-05-31,2021-05-31 23:59:59,106.547,106.547,105.715,105.887,6334,6711374.06
2021-06-01,2021-06-01 23:59:59,106.091,106.122,105.582,105.629,285980,302338450.11
2021-06-02,2021-06-02 23:59:59,105.995,105.995,105.55,105.697,9918,10480055.32
2021-06-03,2021-06-03 23:59:59,105.846,105.846,105.418,105.454,284704,300507602.12
2021-06-04,2021-06-04 23:59:59,105.996,105.996,105.1,105.451,86949,91554860.46
2021-06-07,2021-06-07 23:59:59,105.151,105.52,104.921,105.123,569787,598730454.02
2021-06-08,2021-06-08 23:59:59,104.999,105.0,104.524,104.6,4675,4900132.97
2021-06-09,2021-06-09 23:59:59,104.898,104.898,104.404,104.6,303040,317519668.45
2021-06-10,2021-06-10 23:59:59,104.454,105.16,104.454,105.16,18477,19357021.63
2021-06-11,2021-06-11 23:59:59,105.298,105.5,104.706,105.3,94151,99097241.24
2021-06-14,2021-06-14 23:59:59,105.487,105.49,105.023,105.295,2097,2206459.4
2021-06-15,2021-06-15 23:59:59,105.488,105.488,104.8,104.8,21844,22954792.97
2021-06-16,2021-06-16 23:59:59,105.037,105.037,104.65,104.938,7711,8078586.7
2021-06-17,2021-06-17 23:59:59,104.998,105.0,104.501,104.891,40944,42952892.76
2021-06-18,2021-06-18 23:59:59,105.1,105.297,104.604,105.099,405549,426230879.26
2021-06-21,2021-06-21 23:59:59,105.465,105.499,104.781,104.845,8062,8455710.98
2021-06-22,2021-06-22 23:59:59,105.168,105.168,104.793,104.795,5409,5680455.96
2021-06-23,2021-06-23 23:59:59,105.068,105.068,104.74,105.0,50711,53211855.51
2021-06-24,2021-06-24 23:59:59,105.084,105.529,104.771,105.064,41943,44187983.99
2021-06-25,2021-06-25 23:59:59,105.546,105.546,104.99,104.991,2853,2996753.56
2021-06-28,2021-06-28 23:59:59,105.494,105.494,104.731,104.8,578640,606928509.84
2021-06-29,2021-06-29 23:59:59,104.7,105.549,104.386,104.45,15962,16685867.55
2021-06-30,2021-06-30 23:59:59,105.097,105.097,104.356,104.741,6086,6357634.7
2021-07-01,2021-07-01 23:59:59,105.097,105.097,104.502,104.528,119710,125229193.25
2021-07-02,2021-07-02 23:59:59,104.413,104.788,104.413,104.621,5693,5958581.21
2021-07-05,2021-07-05 23:59:59,104.302,105.047,104.301,104.688,6453,6745635.19
2021-07-06,2021-07-06 23:59:59,104.506,104.878,104.498,104.644,256042,267671178.37
2021-07-07,2021-07-07 23:59:59,104.997,104.997,104.4,104.455,399893,418043785.72
2021-07-08,2021-07-08 23:59:59,104.587,104.587,104.203,104.548,29801,31089195.66
2021-07-09,2021-07-09 23:59:59,104.589,104.589,104.253,104.38,4254,4440757.11
2021-07-12,2021-07-12 23:59:59,104.205,104.65,104.205,104.439,11889,12406232.75
2021-07-13,2021-07-13 23:59:59,104.894,104.894,104.232,104.445,2181,2276448.8
2021-07-14,2021-07-14 23:59:59,104.402,104.41,104.246,104.394,15743,16427983.17
2021-07-15,2021-07-15 23:59:59,104.478,104.796,104.232,104.536,22881,23883905.78
2021-07-16,2021-07-16 23:59:59,104.76,104.76,104.264,104.581,12778,13333178.53
2021-07-19,2021-07-19 23:59:59,104.581,104.761,104.152,104.548,146046,152545331.63
2021-07-20,2021-07-20 23:59:59,104.497,104.851,104.264,104.789,18504,19362781.46
2021-07-21,2021-07-21 23:59:59,104.852,105.25,104.405,105.248,474898,498618036.58
2021-07-22,2021-07-22 23:59:59,105.3,105.539,104.604,105.535,18969,20000879.73
2021-07-23,2021-07-23 23:59:59,105.539,105.6,105.102,105.428,29430,30994142.67
2021-07-26,2021-07-26 23:59:59,105.1,105.549,104.602,105.549,145350,153366835.18
2021-07-27,2021-07-27 23:59:59,105.122,105.7,105.122,105.6,252844,267119709.89
2021-07-28,2021-07-28 23:59:59,105.898,105.898,105.103,105.722,3595,3794592.57
2021-07-29,2021-07-29 23:59:59,105.898,105.899,105.263,105.646,3675,3881296.71
2021-07-30,2021-07-30 23:59:59,105.247,105.737,105.247,105.66,12500,13198088.14
