asof,SU26219RMFS4,SBER,LKOH,T,VTBR,OZON,YDEX,X5,SPBE,PLZL,PHOR,LQDT,TMOS,TGLD,RU000A108Q29,RU000A10CMR3,RU000A10DQA8,RU000A105QX1,SU26226RMFS9,SU26207RMFS9,SU26212RMFS9
2023-01-06,0.19999999999999873,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.1808736130691936e-17,0.2,0.0,2.7919142817219343e-15,0.0,0.0,0.0,0.0,0.0,0.2,0.19999999999999418,4.018486932100274e-15
2023-02-06,0.1999999999999973,2.1765436399006522e-15,2.674409277505996e-15,0.1999999999999989,6.1442514978353725e-16,1.5052056546976277e-15,0.0,0.0,0.0,1.7224797700637228e-15,0.19999999999999873,0.0,4.63074367753884e-15,0.0,0.0,0.0,0.0,0.0,0.199999999999985,0.1999999999999909,1.5796391972244805e-14
2023-03-09,0.2,0.0,0.0,6.784156569850097e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19999999999993529
2023-04-07,0.2,4.455810720394027e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19999999999998774
2023-05-10,0.19999999999990806,0.03436688270463879,1.3140640927445413e-13,9.915703249430731e-14,9.611474026122511e-15,9.695608114707386e-15,0.0,0.0,0.0,3.632795027964132e-14,0.1999999999999895,0.0,9.937994446097033e-14,0.0,0.0,0.0,0.0,0.0,0.19999999999977106,0.19999999999997783,0.16563311729532923
2023-06-08,0.1999999999999975,0.022994372156200014,0.0880385619816679,0.020394599652659662,4.505233902414631e-17,3.876602255295657e-16,0.0,0.0,0.0,0.0,0.2,0.0,1.2864638265200489e-15,0.0,0.0,0.0,0.0,0.0,0.1999999999999995,0.19999999999999962,0.06857246620947419
2023-07-10,0.1999999999998979,0.15802401223453905,1.4448127335957991e-13,3.658385839860198e-14,1.056680096655357e-14,1.739499782865003e-14,0.0,0.0,0.0,6.83372126848367e-14,0.1999999999999859,0.0,1.8320995074271737e-13,0.0,0.0,0.0,0.0,0.0,0.19999999999973592,0.19999999999961432,0.04197598776576639
2023-10-05,0.2,0.0,0.2,0.0,0.0,1.0866612166611728e-16,0.0,0.0,0.0,0.10032880834359523,0.2,0.0,1.5876113392798742e-16,0.2,0.0,0.0,0.0,0.0,0.09967119165640353,0.0,0.0
2024-01-04,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.424469210833333e-17,1.348174313332492e-16,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,7.216449660063518e-16,2.647439163606724e-16
2024-02-02,0.2,0.0,1.1325247497827824e-16,0.0,4.9503224882078436e-17,0.19999999999999998,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.8388068845354155e-16,6.22120960466715e-16
