,SU26219RMFS4,SBER,LKOH,T,VTBR,OZON,SPBE,PLZL,PHOR,LQDT,TMOS,TGLD,RU000A105QX1,SU26226RMFS9,SU26207RMFS9,SU26212RMFS9
4.4888966775316955e-05,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.1999999999999999,0.0
0.00011517777088664785,0.19655172413793107,0.1931034482758621,0.0,0.003448275862068963,0.0,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.1931034482758621,0.0,0.0,0.006896551724137931,0.0,0.1931034482758621,0.19310344827586198,0.0
0.00018546657499797874,0.19261473581394237,0.18441257571185404,0.0011881487460926319,0.008338675085847746,0.0,0.021292042694732366,0.01660635410570816,0.0011049956741024693,0.1826506226403877,0.0005541463948220352,0.0012419978317281923,0.01712656975373651,0.001353096836388391,0.18568195452131706,0.18576637470495416,6.770948438610939e-05
0.0002557553791093096,0.18868106313447103,0.17706604590571492,0.001865254035783091,0.012797505740603494,4.7047998312029285e-20,0.032143258340167805,0.025360004086748964,0.0013404940799729642,0.17432799814794034,0.0005256736083960808,0.0019653276306367726,0.02538470839086838,0.0017854625678729412,0.17828265107987165,0.17842080540542365,5.3747845527894355e-05
0.00032604418322064053,0.1847475481194009,0.1697129939443564,0.0025444490821375293,0.017257851583730454,0.0,0.043009874518290754,0.03411731572248532,0.001549827436766479,0.16599546997493458,0.0005000245486142892,0.0026907599542809564,0.03365182755796887,0.002222084465452162,0.1708834207241156,0.1710754329890039,4.111937846173963e-05
0.00039633298733197144,0.18081237285437704,0.16235639192134607,0.0032235262908249774,0.021718192315090683,7.775050130962088e-20,0.053882963854860716,0.04287598641075942,0.001749018998010849,0.15765759295041562,0.00047386505956574314,0.003416113375108768,0.04192137861875543,0.002658994656876216,0.1634824901169124,0.16372844226696187,4.2670310134177166e-05
0.0004666217914433023,0.17687675338616132,0.1549985654196926,0.003902791075478117,0.02617876082962692,0.0,0.06475895428624218,0.05163544673159541,0.0019434829268694057,0.14931776181950615,0.0004477363997067718,0.004141666127927113,0.05019218792922729,0.0030962785079951625,0.1560810985098639,0.1563810257677546,4.749028235322383e-05
0.0005369105955546332,0.17293515315159133,0.14763448588396583,0.004577322185760926,0.03063488427637292,6.243415240642383e-05,0.07563404731654837,0.0603914863153195,0.002136990024580721,0.14097055693608598,0.0004161934138042756,0.004862519103655117,0.05845923953767054,0.0035286667914229443,0.14867370183542977,0.14902766665942987,5.465241595538156e-05
0.0006071993996659641,0.1689880819517395,0.14026476630285747,0.005247628486734177,0.03508709334030208,0.00018946398519445665,0.08650863403044304,0.06914460411227699,0.002328345841923627,0.1326166132156427,0.0003797180312050371,0.005579186238131032,0.06672294984580197,0.003956625329252365,0.14126081162239038,0.1416688746088564,5.6603057248840203e-05
0.0006774882037772949,0.16504096536616283,0.13289486803043385,0.005918062141839413,0.03953945626792173,0.00031643479517261166,0.0973839973893417,0.07789801644822275,0.0025183902937843533,0.1242623096032789,0.0003433043589886965,0.006295986443891564,0.07498700770041822,0.004384727900200251,0.13384787224853,0.13431004207785718,5.855893395598406e-05
0.000747777007888626,0.1610938140725835,0.12552485040266181,0.006588584694751455,0.04399192875000813,0.0004433694816441666,0.1082599011295812,0.08665163779730167,0.0027075224846829123,0.11590775983491546,0.00030692961793761595,0.007012879664454382,0.08325130265417575,0.004812926921479147,0.1264348955478179,0.1269511784562761,6.051848972871763e-05
0.0008180658119999568,0.15714663579528618,0.1181547496093365,0.007259171666286847,0.04844448184477191,0.0005702807657051512,0.11913619591230545,0.09540541262093968,0.0028959944472156975,0.10755303454002806,0.0002705805098438966,0.007729840252900067,0.09151576650654268,0.005241194068668815,0.11902189018405444,0.11959229057552621,6.248070058839537e-05
0.0008883546161112877,0.15319943647045986,0.11078458810747216,0.007929806807099989,0.05289709608999962,0.0006971763553609889,0.13001278306452613,0.10415930359508374,0.003083973321221494,0.09919817968174943,0.00023424928919596786,0.008446851477980372,0.09978035471001233,0.005669510408049359,0.111608862143417,0.11223338361403448,6.444486433716134e-05
0.0009586434202226185,0.14925096934703197,0.10341314264293398,0.008599604018872414,0.057348987339187994,0.000823027393642812,0.14088976261305142,0.11291280888727218,0.00327146292634865,0.0908416739211913,0.00021005561930538693,0.00916303855936758,0.10804437270157517,0.006096902793176649,0.10419455922041779,0.10487322209586881,6.640992075591404e-05
0.0010289322243339496,0.14529966042163098,0.09603886272571334,0.009267450144675643,0.06179917143033564,0.0009465333042303595,0.1517672894712959,0.12166530587888931,0.003458420520226581,0.08248158480034783,0.00021329265127864724,0.00987730343116772,0.11630695677514116,0.006522148436337895,0.09677739941970502,0.09751024599477494,6.837459424905657e-05
0.0010992210284452805,0.1413483418837368,0.08866455817640859,0.009935317815780161,0.06624938337874278,0.0010700345859312578,0.16264494455515102,0.13041785542602108,0.0036451617491015317,0.07412144047213293,0.00021653085903587985,0.010591590650398561,0.12456959464136165,0.006947414993166948,0.08936022913580245,0.09014726152656063,7.034015066773772e-05
0.0011695098325566113,0.13739701523698392,0.08129023440164002,0.010603202740936603,0.07069961830160541,0.0011935315638262499,0.17352270364305583,0.13917044742273554,0.003831727334547487,0.06576125203212885,0.00021977079483581126,0.011305896340125536,0.1328322754811192,0.00737269835857441,0.08194305051131447,0.08278426944243172,7.230639413899124e-05
0.0012397986366679422,0.1334456815900604,0.07391589420349336,0.011271102638315933,0.07514987183886378,0.0013170257407826716,0.18440054813382148,0.14792307512306008,0.004018148777915773,0.05740102736744688,0.00022301157036974865,0.012020217110815714,0.14109499132148076,0.007797995271149369,0.07452586502919552,0.07542127106608403,7.427321714462407e-05
0.001310087440779273,0.12949434238390164,0.06654154118074437,0.011939014129470495,0.07960014085900266,0.0014405178369003096,0.19527846400241528,0.15667573186361386,0.004204450048578355,0.049040772392345465,0.0002262533078513502,0.012734550679136238,0.1493577368101969,0.00822330370007691,0.06710867254346083,0.06805826765068468,7.62406116205538e-05
0.001380376244890604,0.12487533995548074,0.0574821265611955,0.014215518738219992,0.08592128617354175,0.0009660682620278104,0.2,0.16754993695778303,0.004894934724180123,0.0365743706523178,0.0009068267677697819,0.015110325395339437,0.1619600399111384,0.010397424016122836,0.05897034383622206,0.060105218316310736,7.023973234999342e-05
0.001450665049001935,0.11887404986952692,0.04828504023011427,0.017527753565156692,0.09437888947702895,0.0017581268002430602,0.2,0.18413541071419476,0.005161059464119624,0.02251559690352049,0.0006288462311795616,0.018638877605496745,0.17540571670729851,0.012350587243354605,0.04942885996882983,0.05083664762077844,7.453759915751338e-05
0.0015209538531132658,0.1130884482787044,0.03933826863475762,0.02053549788509689,0.10239943254029805,0.0025330681217160854,0.2,0.19997556453097398,0.006633395953417276,0.00916508792161743,0.0003396090570267647,0.021842538075312896,0.1881807557541869,0.01408422609062332,0.04011208347133712,0.04176732769527385,4.695989657489932e-06
0.0015912426572245967,0.10093656176377312,0.020689832737544864,0.03365967624881463,0.12380906602305125,0.001757188929838127,0.2,0.19945200200054933,0.0065600829317770636,0.0,0.0017797165979943053,0.035710387632924334,0.2,0.02459578578168601,0.02409875343856968,0.026871580567757614,7.93653457197376e-05
0.0016615314613359275,0.1,1.734723475976807e-18,0.047724913930694626,0.14985991972972,0.002638993194448302,0.2,0.2,0.011415536642018881,1.836238371068291e-18,4.855864797625431e-19,0.05084801399794907,0.2,0.03180958450442109,0.0007599539131227153,0.004943084087625293,0.0
0.0017318202654472584,0.1,1.181099168301008e-18,0.039679097244272085,0.17805293641129244,0.0,0.2,0.2,0.03493400838540636,0.0,0.0,0.0473339579590291,0.2,3.469446951953614e-18,3.785047041222039e-18,2.8234734976122797e-18,2.407730448206572e-18
0.0018021090695585894,0.1,2.119870964509493e-17,0.011085695698556188,0.2,5.457359481918124e-18,0.2,0.2,0.0643578010938433,0.0,1.5891150275081794e-18,0.024556503207600455,0.2,0.0,1.122282635870688e-17,1.7655536796203897e-17,0.0
