,weight
SU26219RMFS4,0.14321135808770327
SBER,0.0
LKOH,2.402082543533253e-16
T,3.2990114137033253e-17
VTBR,0.0
OZON,0.12584736878179226
SPBE,0.0056740342388013724
PLZL,0.001029557046758445
PHOR,0.0
LQDT,0.19999999999999998
TMOS,2.116124220540201e-16
TGLD,0.2
RU000A105QX1,0.03844319761480636
SU26226RMFS9,0.032099581997363485
SU26207RMFS9,0.05575128116448951
SU26212RMFS9,0.19794362106828461
