date,turnover,tc_cost,w_SU26219RMFS4,w_SBER,w_LKOH,w_T,w_VTBR,w_OZON,w_YDEX,w_X5,w_SPBE,w_PLZL,w_PHOR,w_LQDT,w_TMOS,w_TGLD,w_RU000A108Q29,w_RU000A10CMR3,w_RU000A10DQA8,w_RU000A105QX1,w_SU26226RMFS9,w_SU26207RMFS9,w_SU26212RMFS9
2023-01-09,0.8972766918569437,0.0008972766918569437,0.1027233081430565,0.19999999999999954,1.065951531270281e-16,3.611870601166774e-16,5.179279048408725e-16,1.8225304407510097e-16,0.0,0.0,0.0,0.19999999999999982,0.00332269667932736,0.0,0.14479795568794268,0.0,0.0,0.0,0.0,0.0,0.19999999999999898,0.0364307103333075,0.11272532915636646
2023-02-07,0.2602465929873664,0.0002602465929873664,0.1,0.2,0.0,0.0,0.0,0.05989963709449932,0.0,0.0,0.0,0.19999999999999996,0.1840920669638666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.056008295941633805,2.8330836070558377e-17
2023-03-10,0.1250616040781312,0.0001250616040781312,0.1,0.19999999999999987,5.783728443311659e-17,5.553271846008466e-17,1.160150748679338e-16,0.0,0.0,0.0,0.0,0.19999999999999982,0.19999999999999996,0.0,0.10915367104199786,0.0,0.0,0.0,0.0,0.0,0.19084632895800227,2.5587171270657905e-16,0.0
2023-04-10,0.3226443446133851,0.0003226443446133851,0.13179801565538288,0.2,0.2,2.4527584929142967e-16,0.0,1.0586821127134856e-16,0.0,0.0,0.0,0.12188535630593257,0.08407930648467388,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.06223732155401107,0.0,0.0
2023-05-11,0.3074175056379087,0.0003074175056379087,0.1,0.19394559470288497,0.014514221799263231,0.0,0.19999999999999998,1.2333531512195366e-16,0.0,0.0,0.0,0.2,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.09154018349785205,1.1064499451999119e-16,0.0
2023-06-09,0.4139979740253426,0.00041399797402534263,0.10000000000000002,0.11972356760612768,0.03703518598996954,0.2,0.15176423656926655,0.07526077634896744,0.0,0.0,0.0,0.0,0.11621623348566876,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.7621580368649374e-17,0.0,0.0
2023-07-11,0.4793439710358709,0.00047934397103587093,0.1310855062095643,0.12417099499415209,0.2,0.06389727536803176,4.177133432622039e-17,0.0,0.0,0.0,0.0,0.17322452845188802,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.10762169497636337,2.928210681543332e-17,3.1120685355784616e-16
2023-08-09,0.45336635155344235,0.00045336635155344236,0.1,2.5805127517196018e-17,0.2,0.0,0.1607568912316821,0.2,0.0,0.0,0.0,0.0,0.09260946032176033,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.04663364844655743,2.701234913822519e-17,1.3952055216263722e-16
2023-09-07,0.2206866361734937,0.0002206866361734937,0.1,0.0,0.2,1.849161957355122e-17,0.12249386053298104,0.08549323064956976,0.0,0.0,0.0,0.0669502978216431,0.02469262419739801,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0003699867984079554,2.510419467276337e-17
2023-10-06,0.29999999999999893,0.00029999999999999894,0.19999999999999976,0.0,0.19999999999999954,1.8958140628907463e-16,4.791363687441995e-16,0.004964847090066427,0.0,0.0,0.0,0.002592192851874563,1.139615177730175e-16,0.0,0.19999999999999932,0.19999999999999918,0.0,0.0,0.0,0.0,0.19244296005806102,0.0,3.0633156161418563e-16
2023-11-06,0.19999999999999976,0.00019999999999999977,0.2,1.1553315332224324e-15,0.1999999999999993,1.016676206185557e-15,8.283411537889274e-16,1.5388226973073706e-15,0.0,0.0,0.0,1.6385761628510717e-15,7.885393779248621e-16,0.0,0.19999999999999793,0.15773579486279335,0.0,0.0,0.0,0.0,0.042264205137205337,0.19999999999999324,2.341215682419716e-15
2023-12-05,0.2000000000000079,0.0002000000000000079,0.2,2.9036971309513765e-16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
2024-01-05,0.4000000000000099,0.0004000000000000099,0.19999999999998125,0.001790797023580263,0.0,0.0,0.0,0.1960414072865896,0.0,0.0,0.0,0.0,0.0,0.0,0.18020212095641328,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.02196567473341831
2024-02-05,0.5025955830780816,0.0005025955830780816,0.10000000000000067,0.0,0.17027592208601758,0.0,0.0,0.017202295965496266,0.0,0.0,2.000752077036265e-17,0.13184106275985338,0.0,0.0,0.19999999999999976,0.19999999999999962,0.0,0.0,0.0,0.0,0.1806807191886331,7.132052537344175e-17,0.0
2024-03-06,0.23095018690586652,0.00023095018690586652,0.10000000000000012,0.054814060618831074,0.17218866226554821,0.0,0.0,0.1725339125883262,0.0,0.0,0.0,0.0,0.0188917694846744,0.0,0.17977756632342062,0.2,0.0,0.0,0.0,0.0,0.10179402871919963,0.0,0.0
2024-04-05,0.4047914594859306,0.0004047914594859306,0.2,0.0,0.04287933683246773,0.0,1.0489820479839556e-16,0.15053517496240235,0.0,0.0,1.5869191196441923e-16,0.19999999999999998,6.282009584601265e-18,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.19999999999999998,0.006585488205130307,0.0
