,weight
SU26219RMFS4,0.143206577175871
SBER,2.3575495430502385e-06
LKOH,6.50336354693267e-06
T,6.723159061273825e-06
VTBR,2.1024221423800055e-07
OZON,0.1258438098346466
SPBE,0.005678759957225016
PLZL,0.0010365231243777242
PHOR,8.798125576365603e-21
LQDT,0.19998954582293818
TMOS,5.891696960212678e-06
TGLD,0.19999005910449225
RU000A105QX1,0.038445639433170316
SU26226RMFS9,0.03210246970731664
SU26207RMFS9,0.05575253885978369
SU26212RMFS9,0.19793239096885268
