date,turnover,tc_cost,w_SU26219RMFS4,w_SBER,w_LKOH,w_T,w_VTBR,w_OZON,w_YDEX,w_X5,w_SPBE,w_PLZL,w_PHOR,w_LQDT,w_TMOS,w_TGLD,w_RU000A108Q29,w_RU000A10CMR3,w_RU000A10DQA8,w_RU000A105QX1,w_SU26226RMFS9,w_SU26207RMFS9,w_SU26212RMFS9
2023-01-09,0.8000000000000012,0.0008000000000000011,0.19999999999999873,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.1808736130691936e-17,0.2,0.0,2.7919142817219343e-15,0.0,0.0,0.0,0.0,0.0,0.2,0.19999999999999418,4.018486932100274e-15
2023-02-07,2.2199591478719263e-14,2.2199591478719263e-17,0.1999999999999973,2.1765436399006522e-15,2.674409277505996e-15,0.1999999999999989,6.1442514978353725e-16,1.5052056546976277e-15,0.0,0.0,0.0,1.7224797700637228e-15,0.19999999999999873,0.0,4.63074367753884e-15,0.0,0.0,0.0,0.0,0.0,0.199999999999985,0.1999999999999909,1.5796391972244805e-14
2023-03-10,0.199999999999946,0.00019999999999994602,0.2,0.0,0.0,6.784156569850097e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19999999999993529
2023-04-10,8.242885540798994e-14,8.242885540798995e-17,0.2,4.455810720394027e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19999999999998774
2023-05-11,0.034366882704995966,3.4366882704995966e-05,0.19999999999990806,0.03436688270463879,1.3140640927445413e-13,9.915703249430731e-14,9.611474026122511e-15,9.695608114707386e-15,0.0,0.0,0.0,3.632795027964132e-14,0.1999999999999895,0.0,9.937994446097033e-14,0.0,0.0,0.0,0.0,0.0,0.19999999999977106,0.19999999999997783,0.16563311729532923
2023-06-09,0.10843316163444716,0.00010843316163444717,0.1999999999999975,0.022994372156200014,0.0880385619816679,0.020394599652659662,4.505233902414631e-17,3.876602255295657e-16,0.0,0.0,0.0,0.0,0.2,0.0,1.2864638265200489e-15,0.0,0.0,0.0,0.0,0.0,0.1999999999999995,0.19999999999999962,0.06857246620947419
2023-07-11,0.13502964007861687,0.00013502964007861687,0.1999999999998979,0.15802401223453905,1.4448127335957991e-13,3.658385839860198e-14,1.056680096655357e-14,1.739499782865003e-14,0.0,0.0,0.0,6.83372126848367e-14,0.1999999999999859,0.0,1.8320995074271737e-13,0.0,0.0,0.0,0.0,0.0,0.19999999999973592,0.19999999999961432,0.04197598776576639
2023-08-09,0.3333880812616786,0.00033338808126167865,0.19999999999999954,0.2,0.19999999999999996,3.8752267772878283e-17,2.2746545778859005e-17,1.9904989772672167e-17,0.0,0.0,0.0,8.958744910362308e-16,0.19999999999999998,0.0,0.09141209349642959,0.0,0.0,0.0,0.0,0.0,0.10858790650356885,8.465450562766819e-16,2.1890678539437526e-16
2023-09-07,0.33302297325603125,0.00033302297325603125,0.12308519823463332,2.0539869238720362e-16,0.1999999999999999,0.0,0.0,0.07561275351912763,0.0,0.0,0.0,0.1488223132333345,0.2,0.0,0.19999999999999965,0.0,0.0,0.0,0.0,0.0,0.05247973501290441,2.3611000673742143e-16,8.918406103818617e-17
2023-10-06,0.32410625840886637,0.00032410625840886636,0.2,0.0,0.2,0.0,0.0,1.0866612166611728e-16,0.0,0.0,0.0,0.10032880834359523,0.2,0.0,1.5876113392798742e-16,0.2,0.0,0.0,0.0,0.0,0.09967119165640353,0.0,0.0
2023-11-06,0.10032880834360315,0.00010032880834360316,0.1999999999999958,3.4620639702778137e-16,0.19999999999999854,2.8224557889639977e-16,6.128611530799645e-16,0.044736152205324585,0.0,0.0,0.0,1.7672700529675831e-15,0.19999999999999848,0.0,6.912004341783472e-16,0.19999999999999846,0.0,0.0,0.0,0.0,0.15526384779467936,0.0,2.0088233460771205e-15
2023-12-05,0.013903396359525736,1.3903396359525735e-05,0.19999999999999418,3.429489448736183e-15,0.18817811540350238,7.820229703534473e-16,1.086391355559307e-15,0.05863954856484424,0.0,0.0,0.0,8.271266275583935e-16,0.19999999999999862,0.0,6.777593379508896e-16,0.19999999999999882,0.0,0.0,0.0,0.0,0.15318233603165257,1.0854825443098968e-15,1.3498079809324268e-15
2024-01-05,0.18817811540351112,0.00018817811540351113,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8.424469210833333e-17,1.348174313332492e-16,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,7.216449660063518e-16,2.647439163606724e-16
2024-02-05,6.523573602882104e-16,6.523573602882105e-19,0.2,0.0,1.1325247497827824e-16,0.0,4.9503224882078436e-17,0.19999999999999998,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.8388068845354155e-16,6.22120960466715e-16
2024-03-06,2.871288617588943e-14,2.871288617588943e-17,0.19999999999998683,1.5820590080994768e-15,5.221526718041104e-15,1.2473660271752077e-15,1.3829424881897008e-15,0.19999999999999796,0.0,0.0,1.3290704593438928e-15,2.825957912716715e-15,0.2,0.0,4.512739721822011e-15,0.1999999999999962,0.0,0.0,0.0,0.0,0.19999999999998833,8.35095881335235e-15,0.0
2024-04-05,0.20000000000001852,0.00020000000000001852,0.2,0.1947670108728271,0.0,0.0,1.2713548123174542e-16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.19999999999999973,0.0052329891271725715,4.40619762898109e-16
