target_return_daily,ret_daily,vol_daily
4.4888966775316955e-05,4.4888966775316955e-05,0.005465807536247379
0.00011517777088664785,0.00011517777088664786,0.005835004560966154
0.00018546657499797874,0.0001854665750144621,0.005640561700402137
0.0002557553791093096,0.0002557553790896878,0.005800715207573131
0.00032604418322064053,0.0003260441831942442,0.005991588367351974
0.00039633298733197144,0.0003963329873031007,0.006210365940294483
0.0004666217914433023,0.000466621791400459,0.0064542603390353405
0.0005369105955546332,0.0005369105955151858,0.006721065478056901
0.0006071993996659641,0.0006071993996167812,0.0070082675122863265
0.0006774882037772949,0.0006774882035650577,0.0073129712049069375
0.000747777007888626,0.0007477770078622826,0.007633081638158626
0.0008180658119999568,0.0008180658117422962,0.007966742267707145
0.0008883546161112877,0.0008883546162532426,0.00831232177213831
0.0009586434202226185,0.0009586434203375361,0.00866831258843337
0.0010289322243339496,0.0010289322240831836,0.009033373832423152
0.0010992210284452805,0.0010992210285811494,0.009406615820453428
0.0011695098325566113,0.0011695098320513788,0.009787102674669469
0.0012397986366679422,0.001239798636292829,0.010174021649065262
0.001310087440779273,0.0013100874409955059,0.010566666191448259
0.001380376244890604,0.001380376244886931,0.010948539917479629
0.001450665049001935,0.0014506650490208222,0.011478880769814842
0.0015209538531132658,0.0015209538537345833,0.012030284688040646
0.0015912426572245967,0.001591242657311836,0.012302077565138715
0.0016615314613359275,0.0016615314612041963,0.012965809436614474
0.0017318202654472584,0.0017318202656539535,0.016282085769042227
0.0018021090695585894,0.0018021090696888503,0.0229125274600076
0.0018723978736699203,0.001872397873729603,0.03137760462179848
0.0019426866777812512,0.0019426866777559003,0.041221204029104334
0.002012975481892582,0.002012975481888092,0.05150673701674471
0.002083264286003913,0.002083264286003913,0.06196283443133348
