secid,mean_daily,vol_daily,ret_ann,vol_ann,sharpe_daily_excess,mdd,var95_1d,es95_1d
IMOEX,5.804908921364057e-05,0.017702156705285094,0.014628370481837424,0.28101302587007326,0.008710505258514797,-0.5528953800798566,0.021838216559756676,0.03921096129590188
LKOH,0.00030426736449035965,0.019993443688031756,0.07667537585157064,0.3173860791018365,0.020027215450875453,-0.5243566485251603,0.026947738938077476,0.0455759452819747
LQDT,0.0005089911960790722,0.0004220072704023069,0.1282657814119262,0.006699157733674156,1.2673047820491652,-0.0010932375449009823,0.0,3.855001749884633e-05
OZON,0.0007958729203862129,0.03409774133267638,0.20055997593732564,0.5412848630116189,0.026160634850795124,-0.8451496284394444,0.043488344446182575,0.06837884273120443
PHOR,0.0007184426035649716,0.0196097347044705,0.18104753609837285,0.31129488782388975,0.04153999305426938,-0.4537494387067713,0.026147627980387327,0.03914514475989054
PLZL,0.007211219758704564,0.24188647858632323,1.81722737919355,3.8398288070913704,0.030209896151559983,-0.6883907225137367,0.028902658314423024,0.046326641287964036
RU000A105QX1,-1.7334990636605218e-05,0.014484474978154348,-0.004368417640424515,0.22993391198120475,1.6694422366489876e-05,-0.42353058823528866,0.021139638724453815,0.030939794990866423
RU000A108Q29,0.00028844178876353025,0.01356681273993429,0.07268733076840962,0.21536647556189364,0.0011967893370888136,-0.24045782702047236,0.020973893911091068,0.029241775123094428
RU000A10CMR3,-7.721916490986995e-06,0.008476675936640502,-0.0019459229557287228,0.13456305883701766,-0.01565456248414474,-0.06978985926354175,0.011349715463999575,0.019362322626175918
RU000A10DQA8,0.0007757641285793148,0.01130541597906004,0.19549256040198734,0.17946791489237204,0.0460005549855874,-0.04693486590038254,0.01705129788670528,0.0211606378687863
SBER,0.00038022413850404295,0.022524748584339997,0.09581648290301882,0.357569298590507,0.02114872787925501,-0.7381320949432387,0.02700289629689405,0.051480510571049284
SPBE,-1.845244382863111e-05,0.049461670683806344,-0.0046500158448150395,0.785179680354754,-0.00045613595137616766,-0.9286881307063902,0.05821093276801936,0.09344631041941061
SU26207RMFS9,-0.00012094282921919827,0.005178472508228791,-0.030477592963237963,0.08220570256774958,-0.004788514243340365,-0.30652379949451836,0.0051961509201119745,0.010677321367261796
SU26212RMFS9,-0.00011936196579403865,0.006878685587974293,-0.03007921538009774,0.10919574847670455,-0.0033751107885827128,-0.3461474654377733,0.0062848992820741245,0.012831438640687566
SU26219RMFS4,-9.61456398547982e-05,0.004926899266785034,-0.024228701243409145,0.07821210116747805,0.0,-0.29417040358744007,0.004743325879148125,0.010097293773863605
SU26226RMFS9,-0.00010431389997232304,0.004552362048417696,-0.026287102793025405,0.07226650714825084,-0.0017942905310802239,-0.2975114632951905,0.004390599262960974,0.009571470907668803
T,0.0006856863645446951,0.029861526959348027,0.17279296386526316,0.474037044618514,0.026181916466088286,-0.8086279209107242,0.039738873022490545,0.06702990305808579
TGLD,0.0009058328054937874,0.014222133497789244,0.22826986698443444,0.22576937008746914,0.06746037886669501,-0.3694958519463931,0.017229337590179562,0.029959108558252685
TMOS,0.0002533517545340311,0.015071879480329857,0.06384464214257583,0.23925866937174134,0.02318870681290641,-0.5441215675819747,0.022086396658981173,0.03648914264791123
VTBR,-0.0010229765110744554,0.038351458135647803,-0.25779008079076277,0.6088105238617736,-0.024166770085807112,-0.9999552543554007,0.03463772472217025,0.0726350267482094
X5,0.0003750779555189721,0.0176582318066347,0.09451964479078097,0.2803157397209173,0.00032846228609873434,-0.3638918629550284,0.021274392783901495,0.03935163836007869
YDEX,0.00041642656400173075,0.019603389300368635,0.10493949412843614,0.31119415765655933,0.006067060674559927,-0.23593099345627444,0.029908853932811227,0.03720691130670691
